#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   HLPW-6 Surface Pressure & Skin Friction Distribution DATA SUBMITTAL FORM for Test Case 1, March 3rd 2026, RevNew
#   Author: DJH, adapted from HLPW-5 submission files
#
#       NOMENCLATURE:
#                  N:   Number of unknowns (grid points for node-centered code, grid cells for cell-centered code)
#            X, Y, Z:   Coordinates of each computational point on the pressure cut in inches
#                 CP:   Coefficient of pressure - give mean if not converged to steady-state
#                 CF:   Skin-friction coefficient at wall = tau_w/(freestream dynamic pressure) 
#                                               - give mean if not converged to steady-state
#      CFX, CFY, CFZ:   Components of skin-friction coefficient at wall
#                                               - give mean if not converged to steady-state
#
#              ALPHA:   Angle of attack, deg.
#                MAC:   Mean aerodynamic chord = 30 inches
#                MRC:   x = 34.8082 inches, y = 0.0 inches, z = 0 inches
#
#                XXX:   Participant ID (assigned by HLPW committee); e.g., 001, 020, 147
#                TFG:   TFG the submission should fall under (e.g. R, S, A, H)
#            DATASET:   Sequential number, should start at 01 for each participant and TFG
#
#    E.g. TITLE field could be: 001_TC1_S_20 for the 20th submission by participant 1 to the scale resolving TFG
#
#             Nomenclature for pressure bands:
#             W:      Indicates plane on the wing (along chordwise rows WA to WG, spanwise row WSA-WSF)
#             S:      Indicates cut on slat element (along chordwise rows SA to SG)
#             Flap:   Indicates cut on flap element (along chordwise rows FA to FC, spanwise row FSF)
#
#            The cut locations for CRM-HLS are defined on <insert website location here>
#
#    FLOW CONDITIONS:
#            Angles of Attack: 10, 15, 20, 25, 30, 35 deg
#                 Mach Number: 0.20
#             Reynolds Number: 3.55 million (based on MAC)
#             Freestream Temp: 518.67 R
#
#              NOTES: 1. All numerical data fields can be free-formatted
#                     2. Please use at least 5 decimal places in the numerical values for CP, CF, etc.
#                     3. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#                     4. If not converged to steady-state (i.e., if run with a scale-resolving simulation
#                        or run time-accurately), give mean values of everything
#
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ 

TITLE = "001_TC1_S_01"

#                            <----- Optional ----->
VARIABLES = "X" "Y" "Z" "CP" "CF" "CFX" "CFY" "CFZ"

# the following lines need the quotes, modify string to numeric value within quotes
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_10p0  = 79892960
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_15p0  = -999
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_20p0  = -999
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_25p0  = -999
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_30p0  = 175511672
DATASETAUXDATA N_NUMBEROFUNKNOWNS_AOA_35p0  = -999

# The following section is for AoA=10 deg:
# Chordwise rows:
# Row A
ZONE T="001 TC1 Row SA, <greek>a<\greek> = 10<math>0<\math>"
 2.130901023E-01 2.966033188E-01 -2.691743630E-02 -2.340740312E-01 8.861118917E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.120427639E-01 2.963268732E-01 -2.780801033E-02 -2.345573238E-01 8.603951269E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.086455170E-01 2.954301677E-01 -3.069676151E-02 -2.360878477E-01 7.761181916E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.080830990E-01 2.952817203E-01 -3.117498735E-02 -2.368174913E-01 7.677230652E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.045627051E-01 2.943035146E-01 -3.432265927E-02 -2.391904670E-01 6.667099828E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.029075095E-01 2.938435346E-01 -3.580278006E-02 -2.409656994E-01 6.437015016E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.006987105E-01 2.932038375E-01 -3.785937083E-02 -2.419841212E-01 6.071501464E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.978189041E-01 2.923696328E-01 -4.054128108E-02 -2.451466175E-01 6.171056303E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.967860728E-01 2.920561515E-01 -4.154813555E-02 -2.457133615E-01 6.198342194E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.929547382E-01 2.908930700E-01 -4.528376389E-02 -2.484858364E-01 6.278797696E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.928339894E-01 2.908537705E-01 -4.540981705E-02 -2.485541303E-01 6.282035086E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.921733096E-01 2.906386729E-01 -4.609973812E-02 -2.486348103E-01 6.274734294E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.889317910E-01 2.895835013E-01 -4.948419029E-02 -2.490045762E-01 6.262631680E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.883476048E-01 2.893931418E-01 -5.009475464E-02 -2.491019533E-01 6.271743696E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.850609947E-01 2.882064418E-01 -5.389405604E-02 -2.480565014E-01 6.343740601E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.840947526E-01 2.878576394E-01 -5.501077505E-02 -2.474078456E-01 6.345648784E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.814424658E-01 2.867226527E-01 -5.863489988E-02 -2.424321378E-01 6.425948931E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.803612549E-01 2.862598861E-01 -6.011255517E-02 -2.395652968E-01 6.347689665E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.783916137E-01 2.850712735E-01 -6.389209705E-02 -2.308866945E-01 6.040858103E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.776020295E-01 2.845949329E-01 -6.540676619E-02 -2.263617747E-01 5.777521245E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.768077401E-01 2.832024172E-01 -6.980505657E-02 -2.109316846E-01 5.122407626E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.767589155E-01 2.831167210E-01 -7.007572872E-02 -2.098612554E-01 5.045219141E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.769610405E-01 2.830321096E-01 -7.033807462E-02 -2.091760918E-01 5.004642554E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.795832576E-01 2.819335226E-01 -7.374438999E-02 -2.008723877E-01 4.492487823E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.820689159E-01 2.818481711E-01 -7.396436539E-02 -2.071204641E-01 4.740847630E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.858764277E-01 2.817170356E-01 -7.430256489E-02 -2.140219521E-01 4.967741119E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.878934460E-01 2.817577896E-01 -7.413481539E-02 -2.243065233E-01 4.814429896E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.924341607E-01 2.818495595E-01 -7.375710000E-02 -2.393449838E-01 4.360432825E-04 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.925127099E-01 2.817913953E-01 -7.393862562E-02 -2.323143667E-01 1.023181044E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.927902861E-01 2.815863954E-01 -7.457840000E-02 -2.130936538E-01 3.088768026E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.885998976E-01 2.812894439E-01 -7.559503731E-02 -1.835289375E-01 4.714876275E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.858472117E-01 2.810943014E-01 -7.626310296E-02 -1.647616130E-01 5.795858496E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.829082517E-01 2.809048092E-01 -7.691703137E-02 -1.606674311E-01 5.824799010E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.788781725E-01 2.806450322E-01 -7.781352941E-02 -1.545729819E-01 5.842162452E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.771847622E-01 2.805507638E-01 -7.814337366E-02 -1.545354134E-01 5.886045521E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.723404633E-01 2.802811302E-01 -7.908683175E-02 -1.541389252E-01 6.049885265E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.714316237E-01 2.802407727E-01 -7.923164130E-02 -1.533292174E-01 6.090951841E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.664261694E-01 2.800184857E-01 -8.002923767E-02 -1.470736479E-01 6.242249467E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.657063202E-01 2.799964685E-01 -8.011262439E-02 -1.448699017E-01 6.225418687E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.607183839E-01 2.798438837E-01 -8.069050000E-02 -1.340704570E-01 6.249861845E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.599871778E-01 2.798337284E-01 -8.073677555E-02 -1.341034749E-01 6.268140437E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.551439962E-01 2.797665313E-01 -8.104307217E-02 -1.304991549E-01 6.529997697E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.543342259E-01 2.797780482E-01 -8.102267531E-02 -1.244658829E-01 6.462195900E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.491944680E-01 2.798513037E-01 -8.089272329E-02 -8.582566551E-02 5.802300895E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.485821208E-01 2.799432299E-01 -8.061538514E-02 -3.492466318E-02 5.500180895E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.447975248E-01 2.805116038E-01 -7.890059237E-02 2.796392769E-01 3.679599388E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.438571091E-01 2.813994139E-01 -7.612474638E-02 4.425073748E-01 3.128181501E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.432410936E-01 2.819811735E-01 -7.430580000E-02 5.501258968E-01 2.745398410E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.435838317E-01 2.823324130E-01 -7.319361538E-02 5.180358436E-01 2.922968039E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.448453405E-01 2.836251405E-01 -6.910024840E-02 3.974248059E-01 3.640797687E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.459735461E-01 2.841153589E-01 -6.753527219E-02 3.314623161E-01 3.936791811E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.484823169E-01 2.852053574E-01 -6.405555100E-02 1.830339090E-01 4.600423594E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.496331046E-01 2.855676605E-01 -6.289272799E-02 1.483899832E-01 4.778303707E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.531367756E-01 2.866707173E-01 -5.935243245E-02 4.410835346E-02 5.249916107E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.538069882E-01 2.868484828E-01 -5.877982213E-02 3.227450845E-02 5.316228046E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.578948571E-01 2.879327341E-01 -5.528727879E-02 -3.993893180E-02 5.656218488E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.582412911E-01 2.880246185E-01 -5.499130452E-02 -4.604018983E-02 5.684422112E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.582980583E-01 2.880396771E-01 -5.494279872E-02 -4.703531087E-02 5.689935248E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.628501489E-01 2.891236945E-01 -5.144190462E-02 -9.660054352E-02 5.889945887E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.637547608E-01 2.893391000E-01 -5.074623924E-02 -1.067861295E-01 5.932727596E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.675508917E-01 2.901791603E-01 -4.802796283E-02 -1.394130225E-01 6.147463425E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.693968202E-01 2.905876837E-01 -4.670606091E-02 -1.564817913E-01 6.265174060E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.723209271E-01 2.912008888E-01 -4.471884788E-02 -1.801767510E-01 6.308454168E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.751664350E-01 2.917975954E-01 -4.278510000E-02 -2.008011170E-01 6.314166037E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.770566896E-01 2.921780438E-01 -4.155069254E-02 -2.141536815E-01 6.278315310E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.808023651E-01 2.929318864E-01 -3.910476140E-02 -2.356429446E-01 6.317719383E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.816856967E-01 2.931039427E-01 -3.854594801E-02 -2.404272515E-01 6.321197089E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.856835520E-01 2.938825455E-01 -3.601715157E-02 -2.686495603E-01 6.326684834E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.862631666E-01 2.939954290E-01 -3.565052126E-02 -2.727177385E-01 6.327950978E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.863912353E-01 2.940203760E-01 -3.556949720E-02 -2.737221319E-01 6.327907155E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.906355134E-01 2.948250147E-01 -3.295393270E-02 -3.012428537E-01 6.335212139E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.917260677E-01 2.950317709E-01 -3.228185005E-02 -3.064341871E-01 6.326757733E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.951800878E-01 2.956715893E-01 -3.020050275E-02 -3.276030229E-01 6.302152773E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.973212913E-01 2.960681093E-01 -2.891060000E-02 -3.380185707E-01 6.268001813E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 1.998629576E-01 2.965289455E-01 -2.741043215E-02 -3.481733970E-01 6.307636313E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.031032727E-01 2.971165830E-01 -2.549750000E-02 -3.629896626E-01 6.387190790E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.046969861E-01 2.973999257E-01 -2.457452328E-02 -3.689844765E-01 6.410705753E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.092197983E-01 2.982040263E-01 -2.195520000E-02 -3.881571510E-01 6.410110486E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.097142678E-01 2.982903641E-01 -2.167378534E-02 -3.904343235E-01 6.397541140E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.119508867E-01 2.986809051E-01 -2.040083264E-02 -4.013422653E-01 6.401948773E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.147509390E-01 2.991698285E-01 -1.880720666E-02 -4.152047078E-01 6.382946217E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.153699718E-01 2.992779159E-01 -1.845490000E-02 -4.185217551E-01 6.386907603E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.198044246E-01 3.000395526E-01 -1.597095535E-02 -4.397176554E-01 6.403336673E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.215501371E-01 3.003393864E-01 -1.499310000E-02 -4.459353142E-01 6.402893053E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.248713009E-01 3.009013374E-01 -1.315942975E-02 -4.575853130E-01 6.346238507E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.277566003E-01 3.013895231E-01 -1.156645688E-02 -4.693022508E-01 6.313970092E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.299509228E-01 3.017556045E-01 -1.037131547E-02 -4.792260615E-01 6.280644062E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.339882606E-01 3.024291933E-01 -8.172262397E-03 -4.943086804E-01 6.214957030E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.350425539E-01 3.026028792E-01 -7.604973428E-03 -4.970167276E-01 6.218336918E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.397229164E-01 3.033739399E-01 -5.086554837E-03 -5.116434330E-01 6.256188183E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.401453054E-01 3.034435254E-01 -4.859276289E-03 -5.130056272E-01 6.262532014E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.402404514E-01 3.034591995E-01 -4.808082051E-03 -5.132448477E-01 6.260326420E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.452609073E-01 3.042762756E-01 -2.138179168E-03 -5.083265088E-01 5.680269062E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.465126919E-01 3.044799817E-01 -1.472540212E-03 -5.091097680E-01 5.603461067E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.503821900E-01 3.051025166E-01 5.625425360E-04 -5.570396853E-01 4.138262281E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 2.527896182E-01 3.054898839E-01 1.828850000E-03 -5.558337050E-01 3.122371896E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 
ZONE T="001 TC1 Row WA, <greek>a<\greek> = 10<math>0<\math>"
 6.590953698E-01 2.540000000E-01 3.966918257E-02 -7.548607563E-01 4.464347816E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 6.571303593E-01 2.540000000E-01 3.975512093E-02 -7.548040169E-01 4.479869309E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 5.957081892E-01 2.540000000E-01 4.155424194E-02 -7.608170984E-01 4.487162865E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 5.947014474E-01 2.540000000E-01 4.157099165E-02 -7.614231183E-01 4.495658955E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 5.915839722E-01 2.540000000E-01 4.162305273E-02 -7.624867762E-01 4.433777772E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 5.998988000E-01 2.540000000E-01 4.147413162E-02 -7.586360506E-01 4.478653252E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 6.032715602E-01 2.540000000E-01 4.140998653E-02 -7.578276054E-01 4.406446272E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.017939279E-01 2.540000000E-01 3.860400000E-02 -9.515462485E-01 5.267195660E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 3.967923857E-01 2.540000000E-01 3.833735933E-02 -9.636608446E-01 5.225858642E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.086921019E-01 2.540000000E-01 3.895080000E-02 -9.351481599E-01 5.279035972E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.027519094E-01 2.540000000E-01 3.865216172E-02 -9.492737053E-01 5.264639444E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.088392936E-01 2.540000000E-01 3.895775997E-02 -9.348406284E-01 5.278832698E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.087121587E-01 2.540000000E-01 3.895174838E-02 -9.351099344E-01 5.279259374E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 3.811086821E-01 2.540000000E-01 3.743640000E-02 -1.009953188E+00 5.575077231E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 3.848757204E-01 2.540000000E-01 3.766088164E-02 -9.975934764E-01 5.433842686E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 3.789175209E-01 2.540000000E-01 3.729870325E-02 -1.018819623E+00 5.605716075E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 3.742175732E-01 2.540000000E-01 3.700330000E-02 -1.038164890E+00 5.722144176E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 6.052716984E-01 2.540000000E-01 4.136631303E-02 -7.575001468E-01 4.372017530E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 6.099260737E-01 2.540000000E-01 4.126638195E-02 -7.583984314E-01 4.406842873E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.363007569E-01 2.540000000E-01 4.013700000E-02 -8.807948636E-01 5.165286003E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.385182565E-01 2.540000000E-01 4.021673948E-02 -8.782331420E-01 5.161669024E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.325559161E-01 2.540000000E-01 3.999207255E-02 -8.870889391E-01 5.207667786E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.293964648E-01 2.540000000E-01 3.986980000E-02 -8.933237810E-01 5.278724334E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.432058076E-01 2.540000000E-01 4.038522138E-02 -8.719840084E-01 5.192814307E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
 4.444805529E-01 2.540000000E-01 4.042758045E-02 -8.701143277E-01 5.211760411E-03 -9.990000000E+02 -9.990000000E+02 -9.990000000E+02
